title,authors,year,journal,journal_abbrev,doi,doi_url,pdf_link,abstract,keywords,plain_summary,why_it_matters,methods_tags,theme_tags,funders,citation_apa,pdf_status,altmetric_link,altmetric_badge,image_url,graphical_abstract_url,media_links
Fish services to corals: a review of how coral-associated fishes benefit corals,"Stier, A. C.; Chase, T. J.; Osenberg, C. W.",2025,Coral Reefs,CORAL REEFS,10.1007/s00338-025-02647-4,https://doi.org/10.1007/s00338-025-02647-4,https://drive.google.com/file/d/1s57zCfPWOFHnLOLfWo1SQEt5WvTKN-wY/view,,Coral; Fishery; Cnidaria; Coelenterata; Fish <Actinopterygii>; Aquaculture of coral,,,,coral reefs,Directorate for Geosciences,"Stier, A. C., Chase, T. J., & Osenberg, C. W. (2025). Fish services to corals: a review of how coral-associated fishes benefit corals. Coral Reefs. https://doi.org/10.1007/s00338-025-02647-4",present,https://www.altmetric.com/details.php?doi=10.1007/s00338-025-02647-4,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00338-025-02647-4"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Coral guard crabs,"Stier, A. C.; Osenberg, C. W.",2024,Current Biology,CURRENT BIOLOGY,10.1016/j.cub.2023.10.067,https://doi.org/10.1016/j.cub.2023.10.067,https://drive.google.com/file/d/1To0L_2GipgvHlqLfXexs6iY1wzU6Lgf5/view,,Coral; Fishery; Guard (computer science); Decapoda; Coast guard; Biology,,,,coral reefs,NSF,"Stier, A. C. & Osenberg, C. W. (2024). Coral guard crabs. Current Biology. https://doi.org/10.1016/j.cub.2023.10.067",present,https://www.altmetric.com/details.php?doi=10.1016/j.cub.2023.10.067,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1016/j.cub.2023.10.067"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
How fishes and invertebrates impact coral resilience,"Stier, A. C.; Osenberg, C. W.",2024,Current Biology,CURRENT BIOLOGY,10.1016/j.cub.2024.05.071,https://doi.org/10.1016/j.cub.2024.05.071,https://drive.google.com/file/d/1_ZhkTPhOsBwk9A2eGL-KiRbatUNEx5Fd/view,,Coral reef; Resilience of coral reefs; Coral; Reef; Biology; Aquaculture of coral,,,,coral reefs; resilience,National Science Foundation,"Stier, A. C. & Osenberg, C. W. (2024). How fishes and invertebrates impact coral resilience. Current Biology. https://doi.org/10.1016/j.cub.2024.05.071",present,https://www.altmetric.com/details.php?doi=10.1016/j.cub.2024.05.071,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1016/j.cub.2024.05.071"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
The metabolic underpinnings of temperature-dependent predation in a key marine predator,"Csik, S. R.; Difiore, B. P.; Kraskura, K.; Hardison, E. A.; Curtis, J. S.; Eliason, E. J.; Stier, A. C.",2023,Frontiers in Marine Science,FRONT. MAR. SCI.,10.3389/fmars.2023.1072807,https://doi.org/10.3389/fmars.2023.1072807,https://drive.google.com/file/d/1-cHREoQ0iNe5KmNjBuIkVCkd_ue_TggN/view,"IntroductionChanges in temperature can fundamentally transform how species interact, causing wholesale shifts in ecosystem dynamics and stability. Yet we still have a limited understanding of how temperature-dependence in physiology drives temperature-dependence in species-interactions. For predator-prey interactions, theory predicts that increases in temperature drive increases in metabolism and that animals respond to this increased energy expenditure by ramping up their food consumption to meet their metabolic demand. However, if consumption does not increase as rapidly with temperature as metabolism, increases in temperature can ultimately cause a reduction in consumer fitness and biomass via starvation.MethodsHere we test the hypothesis that increases in temperature cause more rapid increases in metabolism than increases in consumption using the California spiny lobster (Panulirus interruptus) as a model system. We acclimated individual lobsters to temperatures they experience sacross their biogeographic range (11, 16, 21, or 26°C), then measured whether lobster consumption rates are able to meet the increased metabolic demands of rising temperatures.Results and discussionWe show positive effects of temperature on metabolism and predation, but in contrast to our hypothesis, rising temperature caused lobster consumption rates to increase at a faster rate than increases in metabolic demand, suggesting that for the mid-range of temperatures, lobsters are capable of ramping up consumption rates to increase their caloric demand. However, at the extreme ends of the simulated temperatures, lobster biology broke down. At the coldest temperature, lobsters had almost no metabolic activity and at the highest temperature, 33% of lobsters died. Our results suggest that temperature plays a key role in driving the geographic range of spiny lobsters and that spatial and temporal shifts in temperature can play a critical role in driving the strength of species interactions for a key predator in temperate reef ecosystems.",Predation; Predator; Bioenergetics; Biology; Ecology; Range (aeronautics),"Introduction Changes in temperature can fundamentally transform how species interact, causing wholesale shifts in ecosystem dynamics and stability. Yet we still have a limited understanding of how temperature-dependence in physiology drives temperature-dependence in species-interactions. For predator-prey interactions, theory predicts that increases in temperature drive increases in metabolism and that animals respond to this increased energy expenditure by ramping up their food consumption to meet their metabolic demand.",,consumer-resource,coral reefs,,"Csik, S. R., Difiore, B. P., Kraskura, K., Hardison, E. A., Curtis, J. S., Eliason, E. J., & Stier, A. C. (2023). The metabolic underpinnings of temperature-dependent predation in a key marine predator. Frontiers in Marine Science. https://doi.org/10.3389/fmars.2023.1072807",present,https://www.altmetric.com/details.php?doi=10.3389/fmars.2023.1072807,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.3389/fmars.2023.1072807"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals,"Curtis, J. S.; Galvan, J. W.; Primo, A.; Osenberg, C. W.; Stier, A. C.",2023,Coral Reefs,CORAL REEFS,10.1007/s00338-023-02367-7,https://doi.org/10.1007/s00338-023-02367-7,https://drive.google.com/file/d/1FHoXPnZ2CGCEzsN6XrIhf87Pd4pYAHvc/view,,Photogrammetry; Coral; Coral reef; Biodiversity; Reef; Ecology,,,photogrammetry,coral reefs,Division of Ocean Sciences,"Curtis, J. S., Galvan, J. W., Primo, A., Osenberg, C. W., & Stier, A. C. (2023). 3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals. Coral Reefs. https://doi.org/10.1007/s00338-023-02367-7",present,https://www.altmetric.com/details.php?doi=10.1007/s00338-023-02367-7,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00338-023-02367-7"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength,"Difiore, B. P.; Stier, A. C.",2023,Journal of Animal Ecology,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.13918,https://doi.org/10.1111/1365-2656.13918,https://drive.google.com/file/d/1K9NuYufF_rB-h6ROnkDEZ86oln9BTbIM/view,"Abstract How strongly predators and prey interact is both notoriously context dependent and difficult to measure. Yet across taxa, interaction strength is strongly related to predator size, prey size and prey density, suggesting that general cross‐taxonomic relationships could be used to predict how strongly individual species interact. Here, we ask how accurately do general size‐scaling relationships predict variation in interaction strength between specific species that vary in size and density across space and time? To address this question, we quantified the size and density dependence of the functional response of the California spiny lobster Panulirus interruptus, foraging on a key ecosystem engineer, the purple sea urchin Strongylocentrotus purpuratus, in experimental mesocosms. Based on these results, we then estimated variation in lobster–urchin interaction strength across five sites and 9 years of observational data. Finally, we compared our experimental estimates to predictions based on general size‐scaling relationships from the literature. Our results reveal that predator and prey body size has the greatest effect on interaction strength when prey abundance is high. Due to consistently high urchin densities in the field, our simulations suggest that body size—relative to density—accounted for up to 87% of the spatio‐temporal variation in interaction strength. However, general size‐scaling relationships failed to predict the magnitude of interactions between lobster and urchin; even the best prediction from the literature was, on average, an order of magnitude (+18.7×) different than our experimental predictions. Harvest and climate change are driving reductions in the average body size of many marine species. Anticipating how reductions in body size will alter species interactions is critical to managing marine systems in an ecosystem context. Our results highlight the extent to which differences in size‐frequency distributions can drive dramatic variation in the strength of interactions across narrow spatial and temporal scales. Furthermore, our work suggests that species‐specific estimates for the scaling of interaction strength with body size, rather than general size‐scaling relationships, are necessary to quantitatively predict how reductions in body size will alter interaction strengths.",Predation; Strongylocentrotus purpuratus; Allometry; Ecology; Foraging; Sea urchin,"Abstract How strongly predators and prey interact is both notoriously context dependent and difficult to measure. Yet across taxa, interaction strength is strongly related to predator size, prey size and prey density, suggesting that general cross‐taxonomic relationships could be used to predict how strongly individual species interact. Here, we ask how accurately do general size‐scaling relationships predict variation in interaction strength between specific species that vary in size and density across space and time?",,consumer-resource,kelp forests,"California Sea Grant, University of California, San Diego; National Science Foundation; University of California","Difiore, B. P. & Stier, A. C. (2023). Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength. Journal of Animal Ecology. https://doi.org/10.1111/1365-2656.13918",present,https://www.altmetric.com/details.php?doi=10.1111/1365-2656.13918,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/1365-2656.13918"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs,"Kopecky, K. L.; Stier, A. C.; Schmitt, R. J.; Holbrook, S. J.; Moeller, H. V.",2023,Ecology,ECOLOGY,10.1002/ecy.4006,https://doi.org/10.1002/ecy.4006,https://drive.google.com/file/d/1BtbzNUQ6W8m1CT-3Jo6zO9JEydrlDl9e/view,"AbstractStanding dead structures of habitat‐forming organisms (e.g., dead trees, coral skeletons, oyster shells) killed by a disturbance are material legacies that can affect ecosystem recovery processes. Many ecosystems are subject to different types of disturbance that either remove biogenic structures or leave them intact. Here we used a mathematical model to quantify how the resilience of coral reef ecosystems may be differentially affected following structure‐removing and structure‐retaining disturbance events, focusing in particular on the potential for regime shifts from coral to macroalgae. We found that dead coral skeletons could substantially diminish coral resilience if they provided macroalgae refuge from herbivory, a key feedback associated with the recovery of coral populations. Our model shows that the material legacy of dead skeletons broadens the range of herbivore biomass over which coral and macroalgae states are bistable. Hence, material legacies can alter resilience by modifying the underlying relationship between a system driver (herbivory) and a state variable (coral cover).",Coral; Resilience of coral reefs; Coral reef; Disturbance (geology); Ecology; Ecosystem,"Abstract Standing dead structures of habitat‐forming organisms (e.g., dead trees, coral skeletons, oyster shells) killed by a disturbance are material legacies that can affect ecosystem recovery processes. Many ecosystems are subject to different types of disturbance that either remove biogenic structures or leave them intact. Here we used a mathematical model to quantify how the resilience of coral reef ecosystems may be differentially affected following structure‐removing and structure‐retaining disturbance events, focusing in particular on the potential for regime shifts from coral to macroalgae.",,consumer-resource,coral reefs; kelp forests; resilience,National Science Foundation; Simons Foundation,"Kopecky, K. L., Stier, A. C., Schmitt, R. J., Holbrook, S. J., & Moeller, H. V. (2023). Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs. Ecology. https://doi.org/10.1002/ecy.4006",present,https://www.altmetric.com/details.php?doi=10.1002/ecy.4006,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecy.4006"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems,"Moeller, H. V.; Nisbet, R. M.; Stier, A. C.",2023,Ecosphere,ECOSPHERE,10.1002/ecs2.4382,https://doi.org/10.1002/ecs2.4382,https://drive.google.com/file/d/1KjyXlLHc1Zq4DfqZ_7vxhFBtNJsUWmDd/view,"AbstractMultispecies mutualisms are embedded in a network of interactions that include predation, yet the effects of predation on mutualism function have not been well integrated into mutualism theory. Where predators have been considered, the common prediction is that predators reduce mutualist abundance and, as a consequence, decrease service provision. Here, we use a mathematical model of a predatory fish that consumes two competing coral mutualists to show that predators can also have indirect positive effects on hosts when they preferentially consume competitively dominant mutualists that are also lower in quality. In these cases, predation reverses the outcome of competition, allowing the higher quality mutualist to dominate and enhancing host performance. The direction and strength of predator effects depend on asymmetries in mutualist competition, service provision, and predation vulnerability. Our findings suggest that when the strength of predation shifts (e.g., due to exploitative harvest of top predators, introduction of new species, or range shifts in response to climate change), mutualist communities will exhibit dynamic responses with nonmonotonic effects on host service provision.",Predation; Mutualism (biology); Ecology; Biology; Predator; Competition (biology),"Abstract Multispecies mutualisms are embedded in a network of interactions that include predation, yet the effects of predation on mutualism function have not been well integrated into mutualism theory. Where predators have been considered, the common prediction is that predators reduce mutualist abundance and, as a consequence, decrease service provision. Here, we use a mathematical model of a predatory fish that consumes two competing coral mutualists to show that predators can also have indirect positive effects on hosts when they preferentially consume competitively dominant mutualists that are also lower in quality.",,consumer-resource,coral reefs,National Science Foundation,"Moeller, H. V., Nisbet, R. M., & Stier, A. C. (2023). Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems. Ecosphere. https://doi.org/10.1002/ecs2.4382",present,https://www.altmetric.com/details.php?doi=10.1002/ecs2.4382,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecs2.4382"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Remoteness does not enhance coral reef resilience,"Baumann, J. H.; Zhao, L. Z.; Stier, A. C.; Bruno, J. F.",2022,Global Change Biology,GLOBAL CHANGE BIOLOGY,10.1111/gcb.15904,https://doi.org/10.1111/gcb.15904,https://drive.google.com/file/d/1D46ynLQw4LAcMqAtk86PalpNZ70ytJLE/view,"AbstractRemote coral reefs are thought to be more resilient to climate change due to their isolation from local stressors like fishing and pollution. We tested this hypothesis by measuring the relationship between local human influence and coral community resilience. Surprisingly, we found no relationship between human influence and resistance to disturbance and some evidence that areas with greater human development may recover from disturbance faster than their more isolated counterparts. Our results suggest remote coral reefs are imperiled by climate change, like so many other geographically isolated ecosystems, and are unlikely to serve as effective biodiversity arks. Only drastic and rapid cuts in greenhouse gas emissions will ensure coral survival. Our results also indicate that some reefs close to large human populations were relatively resilient. Focusing research and conservation resources on these more accessible locations has the potential to provide new insights and maximize conservation outcomes.",Coral reef; Resilience of coral reefs; Reef; Disturbance (geology); Climate change; Coral bleaching,"Abstract Remote coral reefs are thought to be more resilient to climate change due to their isolation from local stressors like fishing and pollution. We tested this hypothesis by measuring the relationship between local human influence and coral community resilience. Surprisingly, we found no relationship between human influence and resistance to disturbance and some evidence that areas with greater human development may recover from disturbance faster than their more isolated counterparts.",,,coral reefs; resilience,National Institute of General Medical Sciences; National Science Foundation; University of North Carolina at Chapel Hill,"Baumann, J. H., Zhao, L. Z., Stier, A. C., & Bruno, J. F. (2022). Remoteness does not enhance coral reef resilience. Global Change Biology. https://doi.org/10.1111/gcb.15904",present,https://www.altmetric.com/details.php?doi=10.1111/gcb.15904,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/gcb.15904"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response,"Detmer, A. R.; Cunning, R.; Pfab, F.; Brown, A. L.; Stier, A. C.; Nisbet, R. M.; Moeller, H. V.",2022,Journal of Theoretical Biology,JOURNAL OF THEORETICAL BIOLOGY,10.1016/j.jtbi.2022.111087,https://doi.org/10.1016/j.jtbi.2022.111087,https://drive.google.com/file/d/1VTeIR-Zv66JOx7UVg7_cYenlwP9zxsoh/view,"Many corals form close associations with a diverse assortment of coral-dwelling fishes and other fauna. As coral reefs around the world are increasingly threatened by mass bleaching events, it is important to understand how these biotic interactions influence corals' susceptibility to bleaching. We used dynamic energy budget modeling to explore how nitrogen excreted by coral-dwelling fish affects the physiological performance of host corals. In our model, fish presence influenced the functioning of the coral-Symbiodiniaceae symbiosis by altering nitrogen availability, and the magnitude and sign of these effects depended on environmental conditions. Although our model predicted that fish-derived nitrogen can promote coral growth, the relationship between fish presence and coral tolerance of photo-oxidative stress was non-linear. Fish excretions supported denser symbiont populations that provided protection from incident light through self-shading. However, these symbionts also used more of their photosynthetic products for their own growth, rather than sharing with the coral host, putting the coral holobiont at a higher risk of becoming carbon-limited and bleaching. The balance between the benefits of increased symbiont shading and costs of reduced carbon sharing depended on environmental conditions. Thus, while there were some scenarios under which fish presence increased corals' tolerance of light stress, fish could also exacerbate bleaching and slow or prevent subsequent recovery. We discuss how the contrast between the potentially harmful effects of fish predicted by our model and results of empirical studies may relate to key model assumptions that warrant further investigation. Overall, this study provides a foundation for future work on how coral-associated fauna influence the bioenergetics of their host corals, which in turn has implications for how these corals respond to bleaching-inducing stressors.",Coral; Coral bleaching; Coral reef; Ecology; Biology; Coral reef fish,"Many corals form close associations with a diverse assortment of coral-dwelling fishes and other fauna.  As coral reefs around the world are increasingly threatened by mass bleaching events, it is important to understand how these biotic interactions influence corals' susceptibility to bleaching.",,,coral reefs,,"Detmer, A. R., Cunning, R., Pfab, F., Brown, A. L., Stier, A. C., Nisbet, R. M., & Moeller, H. V. (2022). Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response. Journal of Theoretical Biology. https://doi.org/10.1016/j.jtbi.2022.111087",present,https://www.altmetric.com/details.php?doi=10.1016/j.jtbi.2022.111087,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1016/j.jtbi.2022.111087"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
