slug,title,recommended_image,current_image,match_reason,needs_new_photo
fish-services-to-corals-a-review-of-how-coral-associated-fis,"Fish services to corals: a review of how coral-associated fishes benefit corals",chromis-acropora.jpeg,chromis-acropora.jpeg,"Perfect - shows fish-coral mutualism",No
coral-guard-crabs,"Coral guard crabs",trapezia-coral-crab-red-spotted.jpg,damselfish-pair-acropora-coral.jpeg,"Excellent Trapezia guard crab macro",No
how-fishes-and-invertebrates-impact-coral-resilience,"How fishes and invertebrates impact coral resilience",blue-green-chromis-coral-school.JPG,coral-reef-panorama-anthias-fish.jpeg,"Shows fish-coral interactions directly",No
cascading-benefits-of-mutualists-predators-on-foundation-spe,"Cascading benefits of mutualists' predators on foundation species",trapezia-coral-crab-hiding.jpg,damselfish-pair-acropora-coral.jpeg,"Guard crab hiding - mutualism focus",No
the-metabolic-underpinnings-of-temperature-dependent-predati,"The metabolic underpinnings of temperature-dependent predation - spiny lobster",lobster.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Article is about lobster predation",No
variation-in-body-size-drives-spatial-and-temporal-variation,"Variation in body size - lobster-urchin interaction",purple-urchin.jpeg,giant-kelp-sunlight-underwater.jpeg,"Stunning urchin macro - urchin focus",No
3d-photogrammetry-improves-measurement-of-growth-and-biodive,"3D photogrammetry improves measurement in branching corals",Close up view of hard coral polys Raja Ampat Indonesia.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Macro coral detail for photogrammetry theme",No
material-legacies-can-degrade-resilience-structureretaining,"Material legacies - dead coral skeletons regime shifts",deadcoral.jpeg,coral-guard-crab-red-spotted-macro.jpeg,"Dead coral directly relevant to material legacies",No
detrital-supply-suppresses-deforestation-to-maintain-healthy,"Detrital supply suppresses deforestation - kelp forests",kelp-hero.jpeg,ocean-wave-kelp-breaking.jpeg,"Hero kelp forest shot",No
irreversibility-of-regime-shifts-in-the-north-sea,"Irreversibility of regime shifts in the North Sea",norht-sea-fishing.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"North Sea fishing - directly relevant",No
remoteness-does-not-enhance-coral-reef-resilience,"Remoteness does not enhance coral reef resilience",bleach-coral.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Bleached coral shows resilience failure",No
glimmers-of-hope-in-large-carnivore-recoveries,"Glimmers of hope in large carnivore recoveries",Grey Reef Sharks on Fakarava Atoll French Polynesia.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Marine carnivore (sharks) recovery",No
how-much-city-is-too-much-city-biodiversity-and-ecosystem-fu,"How much city is too much city - urban gradient",seattle-urban-coastline.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Urban coastline - perfect for urban gradient study",No
avoiding-critical-thresholds-through-effective-monitoring,"Avoiding critical thresholds through effective monitoring",fishing-harbor-marina-mountains.JPG,tropical-island-split-view-coral-reef-shark.jpeg,"Fisheries/management context",No
fertilization-by-coral-dwelling-fish-promotes-coral-growth-b,"Fertilization by coral-dwelling fish - bleaching",Green Clown Goby (Gobiodon atrangulatus).jpeg,coral-guard-crab-red-spotted-macro.jpeg,"Coral-dwelling fish macro",No
increasing-spillover-enhances-southern-california-spiny-lobs,"Increasing spillover - spiny lobster fishery",Closeup shot of a California spiny lobster.jpeg,coral-reef-panorama-anthias-fish.jpeg,"California spiny lobster - directly relevant",No
on-the-interface-of-food-webs-and-spatial-ecology-the-trophi,"On the Interface of Food Webs and Spatial Ecology",aerial-view-island-lagoon-barrier-reef.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Island biogeography - aerial perspective",No
ecological-impacts-of-an-invasive-mesopredator-do-not-differ,"Ecological impacts of lionfish - invasive mesopredator",lionfish.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Lionfish - the exact species discussed",No
variation-in-herbivore-grazing-behavior-across-caribbean-ree,"Variation in herbivore grazing behavior - Caribbean",parrotfish.jpeg,chromis-acropora.jpeg,"Parrotfish are key Caribbean herbivores",No
effects-of-corallivory-and-coral-colony-density-on-coral-gro,"Effects of corallivory on coral growth",butterfly fish eating coral.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Butterflyfish eating coral - corallivory in action",No
variation-in-disturbance-to-a-foundation-species-structures,"Variation in disturbance to a foundation species",coral-bleaching-timelapse-study.jpeg,coral-guard-crab-red-spotted-macro.jpeg,"Coral bleaching study - disturbance theme",No
perception-and-conflict-in-conservation-the-rashomon-effect,"Perception and Conflict in Conservation: The Rashomon Effect",conflict-image.jpg,giant-kelp-sunlight-underwater.jpeg,"Conflict/management graphic",No
evidence-that-spillover-from-marine-protected-areas-benefits,"Evidence that spillover from MPAs benefits spiny lobster",spiny-lobsters-group-reef-hideout.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Group of spiny lobsters",No
ecological-impacts-of-humaninduced-animal-behaviour-change,"Ecological impacts of human-induced animal behaviour change",beach-sunset-sea-lion-silhouette.jpg,tropical-island-aerial-view-lagoon-reef.jpeg,"Wildlife behavior - sea lion silhouette",No
fishing-environment-and-the-erosion-of-a-population-portfoli,"Fishing environment and erosion of population portfolio",pacific-herring-net.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Fishing net with herring - fisheries context",No
integrating-oceans-into-climate-policy-any-green-new-deal-ne,"Integrating oceans into climate policy",hurricane-earth-from-space.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Climate/global perspective",No
spatial-variation-in-exploited-metapopulations-obscures-risk,"Spatial variation in exploited metapopulations",fishing-boat-seagulls-rocky-coast.jpeg,giant-kelp-sunlight-underwater.jpeg,"Fishing boat - exploitation theme",No
foundation-species-promote-community-stability-by-increasing,"Foundation species promote community stability - kelp",giant-kelp-sunlight-underwater.jpeg,giant-kelp-sunlight-underwater.jpeg,"Perfect - kelp as foundation species",No
predatorinduced-selection-on-urchin-activity-level-depends-o,"Predator-induced selection on urchin activity",urchin-barron.jpg,giant-kelp-sunlight-underwater.jpeg,"Urchin barren - shows urchin impact",No
temporal-variation-in-dispersal-modifies-dispersal-diversity,"Temporal variation in dispersal - seagrass metacommunity",seagrass.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Seagrass - the study system",No
grazing-halos-on-coral-reefs-predation-risk-herbivore-densit,"Grazing halos on coral reefs",halo-grazing.png,coral-reef-panorama-anthias-fish.jpeg,"Grazing halo diagram - exact topic",No
ocean-recoveries-for-tomorrows-earth-hitting-a-moving-target,"Ocean recoveries for tomorrow's Earth",whale-eating-herring.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Whale recovery - large marine life",No
ilter-the-international-long-term-ecological-research-networ,"ILTER - International Long-Term Ecological Research Network",research-team-boats-turquoise-lagoon.webp,giant-kelp-sunlight-underwater.jpeg,"Research team - network/collaboration",No
strong-evidence-for-an-intraspecific-metabolic-scaling-coeff,"Strong Evidence for Intraspecific Metabolic Scaling in Fish",schooling-jacks-fish-underwater.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Fish school - metabolic scaling",No
landscape-configuration-drives-persistent-spatial-patterns-o,"Landscape configuration drives spatial patterns",forested-islands-aerial-ocean-view.JPG,tropical-island-split-view-coral-reef-shark.jpeg,"Islands aerial - landscape configuration",No
defining-ecosystem-thresholds-for-human-activities-and-envir,"Defining ecosystem thresholds - California Current",california-coastline-rocky-shore.jpg,tropical-island-aerial-view-lagoon-reef.jpeg,"California coastline - study area",No
the-relative-influence-of-abundance-and-priority-effects-on,"Relative influence of abundance on colonization - reef fish",damselfish-single-coral-closeup.jpeg,chromis-acropora.jpeg,"Single damselfish - colonization",No
biodiversity-effects-of-the-predation-gauntlet,"Biodiversity effects of the predation gauntlet",barracuda-school-underwater-blue.jpg,tropical-island-aerial-view-lagoon-reef.jpeg,"Barracuda as predator",No
costly-stakeholder-participation-creates-inertia-in-marine-e,"Costly stakeholder participation creates inertia",research-team-group-photo-beach.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Research team - stakeholder theme",No
rapid-and-direct-recoveries-of-predators-and-prey-through-sy,"Rapid recoveries of predators and prey",blacktip-reef-shark-swimming.jpg,giant-kelp-sunlight-underwater.jpeg,"Shark swimming - predator recovery",No
integrating-expert-perceptions-into-food-web-conservation-an,"Integrating Expert Perceptions into Food Web Conservation",Marbled Grouper spawning Fakarava South Pass.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Grouper - food web predator",No
intraspecific-variation-in-body-size-does-not-alter-the-effe,"Intraspecific variation in body size - mesopredators",Hawkfish on coral.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Hawkfish - mesopredator example",No
using-rarefaction-to-isolate-the-effects-of-patch-size-and-s,"Using rarefaction - patch size and sampling",tropical-palm-island-ocean.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Island - patch/isolation theme",No
ecosystem-context-and-historical-contingency-in-apex-predato,"Ecosystem context in apex predator recoveries",blacktip-reef-sharks-split-view-island.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Split view with sharks - apex predators",No
conservation-challenges-of-predator-recovery-conservation-ch,"Conservation Challenges of Predator Recovery",manta-ray-silhouette-underwater.JPG,giant-kelp-sunlight-underwater.jpeg,"Manta ray - large predator",No
mutualism-in-a-community-context,"Mutualism in a community context",coral-guard-crab-red-spotted-macro.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Guard crab - mutualism example",No
adaptive-genetic-variation-mediates-bottom-up-and-top-down-c,"Adaptive genetic variation - aquatic ecosystem",green-sea-turtle-swimming-blue.JPG,tropical-island-split-view-coral-reef-shark.jpeg,"Sea turtle - aquatic ecosystem",No
principles-for-managing-marine-ecosystems-prone-to-tipping-p,"Principles for managing marine ecosystems - tipping points",coral-reef-bleached-anemone-fish-school.jpeg,giant-kelp-sunlight-underwater.jpeg,"Bleached reef - tipping point theme",No
predator-density-and-the-functional-responses-of-coral-reef,"Predator density and functional responses - coral reef fish",Quillback rockfish (Sebastes maliger) Inhabit rocky bottoms and reefs.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Rockfish predator",No
predators-alter-community-organization-of-coral-reef-cryptof,"Predators alter community of coral reef cryptofauna",Life in a coral - Red coral crab - Trapezia Cymodoce.jpeg,coral-guard-crab-red-spotted-macro.jpeg,"Cryptofauna in coral",No
assessing-trade-offs-to-inform-ecosystem-based-fisheries-man,"Assessing trade-offs - forage fish management",foragefish.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Dense school of forage fish - perfect match",No
larval-dispersal-drives-trophic-structure-across-pacific-cor,"Larval dispersal drives trophic structure - Pacific reefs",fish-eggs-roe-hand-closeup.JPG,coral-reef-panorama-anthias-fish.jpeg,"Fish eggs - larval/dispersal theme",No
predation-and-landscape-characteristics-independently-affect,"Predation and landscape affect reef fish community",Indonesia-coral-reef.jpeg,chromis-acropora.jpeg,"Diverse reef - community organization",No
experimentally-induced-metamorphosis-in-axolotls-reduces-reg,"Experimentally induced metamorphosis in axolotls",axolotl.jpeg,giant-kelp-sunlight-underwater.jpeg,"Axolotl - exact study organism",No
ecologists-should-not-use-statistical-significance-tests-to,"Ecologists should not use statistical significance tests",lorenz-attractor-abstract-art.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Abstract/mathematical - methods paper",No
high-mortality-in-a-surgeonfish-following-an-exceptional-set,"High Mortality in a Surgeonfish Following Settlement Event",NEEDS_PHOTO,tropical-island-split-view-coral-reef-shark.jpeg,"Need: surgeonfish image",Yes
competitive-hierarchies-among-three-species-of-juvenile-cora,"Competitive hierarchies among juvenile coral reef fishes",damselfish-pair-pink-coral.jpeg,damselfish-pair-acropora-coral.jpeg,"Damselfish pair - competition",No
illegal-shark-fishing-in-the-galpagos-marine-reserve,"Illegal shark fishing in the Galápagos Marine Reserve",marine-iguana-galapagos-beach.jpg,coral-reef-panorama-anthias-fish.jpeg,"Galapagos marine iguana - location",No
